Review,Point
"Lần đầu tiên đến, quán nhỏ dễ thương không gian ko rộng lắm nhưng đẹp. Tụi mình đi 3 người gọi tầm 7 -8 món gì đó. Món nào cũng ngon 3 đứa ăn ko hết lun. Mình thích nhất là chân gà sốt cay, cay ngon thấm đúng vị hàn quốc. Nước uống cũng đa dạng, trà sữa ngon thạch ăn chuẩn vị. Bạn mình khen hoài. Món ăn ra nhanh gần như ra liên tiếp nên ko phải chờ. Nhân viên phục vụ tốt nhanh nhẹn vui vẻ. Sẽ đến nhiều lần nữa nếu có dịp. Good",5.8
"Quán bán mì quảng đủ loại. Gọi 1 mì quảng cá lóc và mì quảng ếch. Cá lóc 20k,còn ếch thì 30k, mì quảng ếch quán để trong 1 cái mẹt nhiều kinh khủng từ mì đến ếch tới 2 cái đùi,ăn ráng chứ bỏ thì uổng,quán làm thấm sạch sẽ.",8.0
"Nếu ai là fan của bạch tuột -chan thì không nên bỏ lỡ quán này. Thức ăn ngon mà giá lại hợp với túi học sinh Mình hay gọi bạch tuột nướng muối ớt, bạch tuột trứng cút, bò colombia hay chân gà sả tắc. Thích nhất là cái nước chấm ở quán chua chua ngọt ngọt. Do ham ăn quá nên không có chụp nhiều được. Sẽ tiếp tục ủng hộ quán",9.2
"Quán mì này lúc nào cũng đông khách hết trơn á. Từ hồi được bạn giới thiệu quán này đâm ra ghiện luôn. Quán bán đủ loại mì quảng, có cả cháo nữa. Món mình hay ăn là mì sườn non trứng. Sườn non mềm, thịt kho thấm. Nước mì đậm đà. Một tô ni là 27k hay 32k chi đó mì k nhớ rõ nữa. Quán đông khách nhưng phục vụ rất nhah. Gọi là có liền à. 
Ở đây có cháo ếch, cháo lươn ăn cũng được lắm. Tô cháo bự ăn là no lắm luôn. Còn có bánh tráng thịt heo nữa",8.0
"Ghiền cháo ếch Sing hồi nào đến giờ nên nghe chỗ nào bán là đến ăn thử. Theo cá nhân mình thấy chỗ này làm gần giống cháo ếch Lorong 11 ở Sing nhất á. Có khách đến quán mới nấu nên đợi hơi lâu. Bù lại trời lạnh mà dc xì xụp tô cháo nóng hổi thì còn gì bằng. Cháo nấu gạo thường chứ ko fai yến mạch nên ko mịn, tuy nhiên mềm như vậy là có cố gắng á. Ếch thơm, thấm, gọi ếch nhỏ nên ăn chưa đã, chắc lần sau tới gọi phần to. Lúc về 2 bạn nam bay ra dắt xe nữa chứ. Ăn no cành hông mà có 120k 2 người, quá được luôn",8.2
"Từ ngày kin kin chuyển về địa điểm mới thì mình mừng lớn vì không cần phải đi xa để ăn đc đồ thái ngon rẻ nữa
Không gian chỗ mới đc nâng cấp rất nhiều lun, có 2 tầng rộng rãi thoải mái lại mát mẻ không bị hầm bí.
Mình đi 2 người nhưng ko tự lượng sức, con mắt to cái miệng nên gọi 4 món ăn no bể bụng. Vì ăn pad thái, cơm dứa, lẩu hoài ngán quá nên lần này gọi mấy món mới 
Canh tomyom, ram và cơm ngon nè, chỉ có mỳ gì đó là ko hợp khẩu vị mình lắm
Giá cả vô cùng vừa phải ko bị mắc như nhiều chỗ nên rất thích",7.8
"Quán mới rộng, thoáng, không gian đẹp, mỳ ngon :3 
Nhân viên thân thiện",9.4
"Ngon và khá rẻ 😍 quán có đồ ăn vặt nữa
Đồ ăn có nhanh, nước chấm ngon",5.0
"Thái độ phục vụ coi thường, mẹt 55k như 25k, toàn bỏ đậu, bún thì nát",1.0
"Hôm nay đặt hàng được khuyến mãi, thức uống Ok.",10.0
"Menu đa dạng, thích nhất món pizza trứng cút. Địa chỉ dễ tìm, nhân viên phục vụ nhanh nhẹn, món ăn ra nhanh.",6.4
"Mì đến nơi còn ấm, nhìn không giống ảnh nhưng không xấu tệ. Vấn đề quan trọng ở đây là mặn chát các bác ạ, không hiểu quán bị bệnh thích ăn mặn, lỡ tay đổ nhiều muối hay do đây là đồ sale 30% mà làm ăn cẩu thả :) Dăm ba miếng cải bắp, vài ba vụn thịt gà và một đống mì ướp muối. Okay tui ổn mà :3",3.6
"Lâu rồi mới quay lại quán này ăn, mỗi khi thèm đồ thái thì lại ghé quán này
quán sạch sẽ, bàn rộng rãi để bỏ đồ ăn
đợt này ăn lại mình thấy không ngon lắm, đồ ăn khá là nhiều, nhưng mùi vị thì không ok lắm í",7.8
"Dở ẹc. Toàn nhân là nhân, không có vị gì, giống như là đang ăn một cục thịt, không mặn, không chua ngọt, chỉ có ngấy và ngấy. Mua vì tò mò mà ăn muốn ói",2.8
"Thiệt sự là kg đáng để vào đây ăn. Đồ ăn thật sự dở và k đáng. Chỉ có sushi chọn mình cảm thấy có thể ăn đc. Các bạn ăn lẩu kimchi ở đâu thà ăn lẩu thái còn hơn. Thiệt sự là k đáng. Những ng làm nch với nhau to tiếng như cãi lộn vì 1 hũ kem bôi mặt:))) to tiếng với nhau coi như chả có khách ở đó. Mực nhỏ mà tanh. Tới ăn sushi chứ tuyệt đối đừng ăn món khác. Giá tiền ở đây có thể bằng 1 quán ăn sushi có máy lạnh và nhân viên phục vụ chu đáo ( vd như sushi cô chủ nhỏ,....) các bạn đến thử ở đây và cô chủ nhỏ giá tiền tầm cỡ nhau nhưng chế biến và phục vụ khác nhau hoàn toàn)",1.8
"Mì thì dở lại còn dơ, có 1 cái nồi mà bã trụng tùm lum thứ. 
Nếu các bạn để ý, khi gọi mì nhỏ bình thương thì sẽ là 1 vắt mì gói, còn nếu bạn gọi tô mì lớn thi cũng chỉ là 1 vắt mì gói+ thêm bã lấy tay bóc vô cái bịch ni lông bã để dưới đât trong bịch toàn là mì vụng nát không biết từ đâu bỏ vào tô -> gọi là tô mì lớn. Thật sự rất là dơ. 
Đợi khoản 40p hơn mới có được tô mì khô chăng có con mẹ gì trong đó. khi mì lanh tanh mới có được tô nước. Khách mà phàn nàn gi thì từ nhân viên tới bã sẽ chũi khách xối xã theo kiểu thách thức mất dạy.....
Thôi nói chung mình khuyên chân thành với các bạn. là đừng nên thử rồi sẽ phải hối hận và ôm thêm bực tức. 
Sống ở Việt Nam mấy chục năm chưa bao giờ mình thấy cái quán ăn nào tệ và mất dạy như cái quán mất dạy này ..",1.0
"Quán tối cuối tuần khá đông, nhiều món hết rồi. Nhân viên không để khách có thời gian chọn món mà cứ đứng kè kè bên như hối thúc, mình không thích lắm. Vịt quay vị ở đây mình thấy không đặc sắc so với những quán đã từng ăn trước đó. Món hủ tiếu xào bò ngon, nóng hổi mà nhiều nữa. Chân gà hấp xì dầu ăn ok. Đậu hũ tứ xuyên ăn với cơm cũng khá ngon miệng. Ở đây còn có các món chay như rau xào cải xào. Hay bị sót món nên thường xuyên nhắc nhân viên.",6.6
"Quán có không gian rộng, mát mẻ, nằm ở đường PCT nên ít xe cộ đi lại. Cô chủ quán nhiệt tình. Các món giá khá ổn tầm 20k là có 1 món 4 bánh. Bánh vỏ dai, nhân đầy đặn, thịt đậm đà ăn rất thích. Đặt biệt là món nước chấm ở đây ăn vừa ngọt vừa mặn hơi cay cay ăn rất hợp. Chúc quán có thật nhiều khách!!",9.4
"Quán mới mở cho mấy bạn sinh diên hoà khánh khỏi đi xa. Nằm ở đoạn ngô thì nhậm giao vs trần văn kỷ. Không gian có 1 tầng thôi mà rộng lắm nha
Menu toàn mì cay, giá cả bình dân",7.6
"Quán gần chợ hàn, nước uống ở đây không ngon lắm, mình kêu yohurt dâu tây mà hình như mùa này dâu tay đắt hay sao mà không thấy dâu tây đâu chỉ bỏ siro dâu tây cho có mùi thôi thì phải. Bánh mì cũng được, lúc đem ra nóng hổi nhưng ăn hơi ớn. Giá cả thì hơi đắt so với chất lượng. Không gian quán đẹp, mát mẻ, có máy lạnh. Phục vụ nhiệt tình,dễ thương,khách kêu gì là có nấy. Chỗ để xe thì hơi chật chội, nắng, trưa mà ngồi lên yên xe thì thôi rồi luôn :)))",6.6
quán đông lòi. ăn khá bt k gì nổi bật .,5.0
"Ko có ý định review nên mình ko chụp hình, ko biết quán có đổi đầu bếp ko mà những món lúc trước mình ăn ngon bao nhiêu thì hôm nay dở bấy nhiêu. Đồ đông lạnh trong tok thì bị chua, mì tương đen thì chín quá bở và k có mùi tương đen, canh kim chi ngọt và thịt bò có cục gì đó màu đen nhìn đúng ghê ko dám ăn. Mì ý sốt kem thì sợi mì cứng sốt ít ăn bao ngán. Phải nói là món nào cũng dở, mùi canh kim chi y như bún thiu. Quán nên xem xét lại đầu bếp đi ạ vì lúc trước ăn ngon thật sự !",4.2
"Mình ord Trà sữa oreo kem cheese
Rõ là cheese con bò cười, uống bằng cách uống cheese bình thường mình hay uống như bên R&B thì chỉ uống đc ts chứ không uống đc chung kem cheese với trà sữa. Uống mà cứ lợn cợn những miếng phô mai con bò cười chưa tán nhuyễn, trà sữa lạt lẽo. Uống cho biết chứ không bao giờ quay lại.",4.0
Xử lý phàn nàn khách hàng tốt - điểm cộng lớn,7.8
"Một vài ý kiến của mình về quán: 
1. Vị
- vị không có gì đặc biệt
- nước lèo mặn
- hủ tíu khô bị nát
- càng cua, tôm đều bị bở, kiểu như đồ cũ
- tô cũng ít chứ không nhiều so với giá bán
2. Bàn dơ, khay bưng đồ khá bẩn, nước lèo, đồ ăn đổ tùm lum trên khay
3. Lòng hiếu khách của chủ quán
- khách tới thì các***không quan tâm, chắc ko cần khách
- lúc hỏi chỗ để xe thì***trai trả lời: ""đi ăn hủ tíu thì coi chỗ nào trống thì để chứ hỏi gì"" - Ơ ???? 

Thấy mọi người đến chụp hình Bảng hiệu vẽ tay của quán là nhiều chứ quán cũng ko có gì đặc sắc so với giá. Không quay lại nhé!!!",1.0
"Nghe bảo phở Hòa ngon.Khôg biết mọi người cảm nhận sao chứ mình ăn thấy bình thườg mà 1 tô lớn 75k tô nhỏ 65k thấy mắc.Được cái có wifi, máy lạnh 
Bữa nhà mình ik ăn cỡ 7 8 người, đag tính tiền chuẩn bị về thì trog nhà mình có người kêu lấy thêm chai trà olong nữa chỉ kêu là "" lấy nhanh dùm anh nha em ơi"" vậy mà nhân viên trả lời lại "" giờ phải chạy lại tủ lấy chai nước anh kêu lấy nhanh cũng khôg lấy được "" 😑😡
Bỏ ra 70k 80k ăn 1 tô phở mà thái độ nhân viên như vậy. Nản lời héo lời",5.6
"Chỗ này gỏi cá ngon lắm nhé. Mình đã ghé quán này khi đi ăn cùng với gia đình, mọi người rất thích và đánh giá về quán này cũng rất tốt! ^^",7.8
"Đúng y món yêu thích của mình luôn, sẽ uống thường xuyên.",10.0
"Bún hơi cứng..? khó ăn.. thịt lợn luộc tệ, đậu rán kiểu lạ... Nchumg bún thì ko trách làm gì vì chắc cả ĐN ko có quán nào có bún ép như ngoài HN, nhưng đồ ăn đi kèm thì ko ổn mà so với giá quá chát. Nhg quán có món chân gà rất ngon.",4.6
"Ngon, rẻ mà còn chu đáo nữa , sẽ ghé lại .",10.0
"🎆BÀI POST ĐẦU NĂM 🎆
🏡Dimsum Bà Thím - 280 Phan Châu Trinh
⏰10am - 21pm
💰20k - 35k
🌟8.3
-------------------------------------------------
🌸Dimsum ở đây bán lâu và nổi nhất nhì Đà Nẵng. Mình vào tối chủ nhật thấy không đông lắm. Quán thoáng sáng sủa có 2 cô chú bán. Ngoài dímum còn có ăn vặt. Chỗ ngồi hơi thấp và bàn ghế sát nhau nên đi từ nhóm 4 người trở xuống 🙆
🌸Há cảo tôm 20k: Nhân có tôm xắt nhỏ quyện trong chả quết
🐔 Há cảo gà 20k: nhân chả gà quết :)) ngọt, mọng nước hơn tôm
🍄Há cảo đông cô 20k:loại này ngon, nhân có nấm và thịt
🐟Sủi cảo hải sản hấp 25k: món này best nhất, vỏ mỏng nhất, nhân đầy đặn có cá tôm,... Có 3 miếng thôi nhưng chất lượng 👍
🌿Yumcha: có 5 viên: hoa hồng nhân tôm nhỏ, viên xíu mại, tôm, thịt, 1 cái nhân hành hẹ hơi nồng. Mấy viên này ăn tạm ổn
🍥Nước tương kèm ớt nên chấm nhiều sẽ hơi cay, các món có hành phi ăn đỡ ngấy
🔜Nhìn chung đồ chỉ ở mức ổn chứ không ngon (nguyên nhân mình sẽ để ở phần điểm trừ) 🌸Giá rẻ. Cô chú bán thân thiện
❌Điểm trừ: Bánh vỏ dày, dày nhất là em đông cô, có mỗi loại hải sản mỏng
Bí mật doanh nghiệp: dimsum ở đây là loại làm sẵn rồi bỏ ra hấp nên mình không nói đồ tươi ngon, và vị mình ăn đúng chuẩn đồ mua sẵn thật. Vì vậy ăn thấy tạm ổn thôi. Tiền nào của nấy mà 😅",8.4
"Nhanh thật, mới mua bánh kem Noel năm trước, sáng nay mình ghé lại Đồng Tiến chỗ đường Phan Đăng Lưu lấy cái bánh kem sinh nhật đã thấy xuất hiện bánh kem noel, vậy là đc 1 năm rồi, nhìn bánh noel thì chưa nhiều nhưng mẫu mã bánh có vẻ thay đổi nhiều hơn năm trước, dự định năm nay sẽ mua được vài cái đi tặng giáng sinh. Nhìn thích thật ! !",9.0
Quán ăn chay mình ăn lần đầu tiên trong đời cảm nhận là đồ ăn ngon.. 2 đứa vào gọi 1 nồi lẩu vs 1 đĩa bánh beoc mà thanh toán có 130k... rẻ ghê... quán lúc nào cũng đông khách đặc biệt buổi tối,5.0
Nhót nhép món thái cuối tuần. Đồ thái ở đây khá là ngon. Có chút điều chỉnh mùi vị để phù hợp với khẩu vị người việt. Mình khá thích gỏi miếng trộn cay ở đây. Sẽ ghé lại quán ăn nếu có dịp,8.4
"Thèm cơm cháy tóp mỡ lên foody search thì thấy 3colu có bán nên order về ăn. mình gọi 2 phần : mì trộn tóp mỡ 35k & cơm cháy tóp mỡ 15k.
- cơm chạy tóp mỡ 15k được 2 miếng lớn lun á, miếng cơm cháy được quét sốt lên giốg sốt của kho quẹt á, phần topping có mỡ hành, tóp mỡ & kho quẹt, ăn cũng ổn đó, mình thấy giá khá ổn
- mì trộn tóp mỡ nhìn rứa chớ ăn no á, có tóp mỡ, cải ngọt luộc, trứng hồng đào béo béo & thêm ngạch cua, ăn k hề cay nha, mà tóp mỡ giòn giòn, ăn ngán thì có cải luộc chống ngấy rồi.
phần này ăn xong no bể bụng lun, 3colu menu lúc nào cũng toàn món lạ lạ so vs mấy quán khác á",8.0
Nhót nhép món thái cuối tuần. Đồ thái ở đây khá là ngon. Có chút điều chỉnh mùi vị để phù hợp với khẩu vị người việt. Mình khá thích gỏi miếng trộn cay ở đây. Sẽ ghé lại quán ăn nếu có dịp,8.4
"Mình order cacao va matcha tcdd đều để 50 đá mà ly nước chênh lệch nhau?
Khó hiểu, trân châu mềm, dẻo, m bận họp mà trân châu ko bị cứng
Giá thành tỷ lệ nghịch với chất lượng
Sẽ đặt nếu giá ngang với Tiên Hưởng
Theo m nghĩ ly này tầm 35-40k thì sẽ có nhiều người mua hơn
Trung thành với trân châu dd của TH thôi
Sẽ ghé lại khi quán bớt đông hơn để check in",5.0
"Hủ tiếu ăn cũng tạm được nhưng nước lèo hơi mặn, hành thì có vẻ hơi cũ
Nhưng không thích cách phục vụ của bên now 
-nhà mình hơi khó tìm mình có ghi chú rất cụ thể trên đơn hàng nhưng nhân viên k đọc
-nhân viên không gọi để xác nhận đơn hàng để mình gọi 2 3 lần để dặn
-gần tới nhà mình thì ngay chợ bị kẹt xe đi nhầm hẻm rồi kêu mình ra lấy nhưng mình k ra (phục vụ gì kì vậy tiền ship gấp đôi bên grab và goviet mà nhân viên còn thái độ nữa)
-tới nơi thì than là kẹt xe quá trời đi 1 lần tởn tới già trong khi đó tiền ship đến 50k hơn hơn 1 tô hủ tiếu
> cách phục vụ của now càng ngày càng tệ nên xem lại nhân viên tính phí ship dịch vụ cao mà nhân viên có thái độ quá",1.0
"Thức ăn ngon, dễ ăn.
Có điều vì là món thái nên cay lắm, dặn nhân viên cho ít cay để dễ ăn nếu bạn nào ăn cay ko dc.
Chỗ mới khang trang hơn, sạch sẽ hơn, có 2 tầng.
Giá tăng so với quán cũ, nhưng quán lại đẹp hơn, thông thoáng hơn nên cũng ko thành vđề, vị vẫn ngon, đồ ăn nhiều so với những chỗ khác.",8.6
"Các món ở đây tầm 25-30k. Menu khá nhiều món, tuy nhiên vị giống nhau, ví dụ bún riêu hay phở nước dùng y như nhau. Quán sử dụng nhiều thực phẩm giả chay bằng bột ko tốt cho sức khoẻ, mà ít rau nấm đậu. Chế biến vị cũng không ngon.",6.2
"Quán ăn thì dơ bẩn, giá trên thực đơn 20k, đến khi gọi 2 dĩa cơm gà và cơm sườn thì thành 80k 
Trong khi dĩa cơm chả có gì ngoài đùi gà bé bằng ngón cái
Quán quá dở tệ, lại còn chém",1.0
Đồ ít giá thì hơi cao 1 tí nhân viên khá cộc lốc,3.2
"Buổi chiều hôm tôi và người yêu tới quán, đã ngồi vào bàn và gọi món, đang chờ món ra thì có 1 nhóm khách du lịch 6 người đi xe taxi tới. Nhân viên ra ép chúng tôi phải qua ghép chung bàn với 2 người khác với thái độ coi thường khách. Tất nhiên chúng tôi đã nhường bàn để đi về và không ăn, thanh toán nữa. Mong quán coi lại nhân viên phục vụ.",4.8
"Đồ ăn vị vừa miệng, giá cả hợp lý. Cộng 1 điểm vì dùng bao bì thân thiện với môi trường 👍🏼 chắc chắn sẽ đặt lại",8.0
"Mấy bữa mình Ăn mì cá mì gà thì thấy rất ngon thơm đậm đà. Đợt này chọn ăn mì bò nhưng cảm thấy không được ngon lắm. 
1. Nước mì quá nhiều béo chắc bữa sau phải dặn bỏ không béo.
2. Thịt bò bị dai
Điểm cộng quán làm nhanh, rau có vẻ sạch sẽ. Quán sạch sẽ. Bảng giá rõ ràng. 
Bữa sau đến chắc chỉ ăn mì cá, gà hoặc lươn thôi sẽ không ăn mì bò nữa. 
Phục vụ nhiệt tình nhanh chóng.
Chỗ để xe nhỏ mà khách đông không có người dắt xe.",7.4
"Hôm bữa có đặt qua delivery now một phần cháo ếch, hai phần cơm với ếch chiên giòn, với một phần xúc xích, mọi thứ đều được chỉ đáng tiếc là cơm với ếch chiên giòn chẳng có sốt gì ăn kèm cả nên cảm thấy hơi nhạt, bữa đó có giảm 50% nên rất rẻ ý.",7.0
"Mình được giới thiệu mì quảng ở đây cực kỳ ngon, nên sau một hồi lần mò thì mình cũng tìm được với quyết tâm ""ăn cho biết hương vị quê người"" :v
Nói chung là món này ngon không chê vào đâu được, trình bày cũng đẹp mắt. Nhất định sẽ trở lại quán này nếu có dịp ra Đà Nẵng nữa.",7.4
"Trưa nóng quá nên lên now tìn chè thái order về. May quán ni có Apyeu thích nên đặt 2 phần 30k được free ship nề. Chè liên hình như chỉ có quán này bán trên now. Mình thấy bên HD là chè trần liên, chắc k liên quan gì tới bên này đâu.
Mình đặt rau câu dừa 10k & chè thái có sầu 20k.
Rau câu dừa khá to, ăn ngon, mà cái sữa ăn kèm mình ăn sao cứ nghe mùi mốc mốc nhỉ ?
Chè Thái thì topping khá nhiều, siêu thơm, siêu ngọt và tất nhiên cũng siêu béo
Mình thích mít ăn kèm, giòn giòn, ngọt ngọt",8.0
"💯💯 ĐẾN #Hi_Bro - ĐIỂM DANH FAN #Phô_Mai_Tươi #Thạch_Sương_Sáo ngayyyy đi ạ 🙌🏻🙌🏻 với các dòng Sữa Tươi Sương Sáo Đường Đen, Trà Sữa Phô Mai Tươi... , đủ để bạn yêu Hi Bro.
👍🏻👍🏻 Rủ ngay đám bạn đến #Hi_Bro quậy tưng bừng nhaaa ❤️
☎️☎️☎️📞📞📞 0899.454.152",10.0
"Mỗi năm cứ đến trung thu là mình lại rất thích ăn bánh. Năm ni có vẻ ăn sớm hơn mọi năm. Vì thèm bánh trung thu quá nên mình quyết định ship về ăn. Bánh ở đây khá là ngon, có nhiều loại, nào là bánh nhân thập cẩm, lá dứa, đậu xanh, mè đen,...Loại nào cũng ngon hết, hi, mình thì khá là thích nhân đậu xanh, dễ ăn và ngon. Bánh nhìn khá là đẹp, ăn ngon, giá cũng ok nữa, mua về làm quà thì càng tuyệt vời hơn. Bữa nay cứ thèm bánh trung thu là order chỗ này về ăn thôi, thật tuyệt vời, hihi",7.8
"Chẳng hiểu sao quán này lại được khen nữa. Mình thấy bún phần nhỏ gì là lèo tèo có cỡ 6, 7 miếng bún nhỏ tầm 2 ngón tay, trong khi bún ở quán khác người ta cắt to gấp đôi miếng bún ở đây và cũng bỏ chừng đó miếng bún, nên mình thấy giá 1 phần 30k như thế mà có gì đâu gọi là rẻ nhỉ.
Rồi mắm thì ăn vào thấy hơi bị ngọt, đã vậy vắt chanh vào thấy mắm sủi bọt có tí, trong khi những quán khác mình ăn thì nặn chanh vào mắm tôm thì mắm sẽ sủi bọt lên rất đều và đẹp. Chắc không ăn lại quán này nữa đâu.",4.8
"Quán trang trí đẹp, đồ ăn ngon. Có điều đông quá nên phục vụ chưa được tốt lắm. Sẽ đến lại lần sau.",7.4
"Quán vẫn thế, khá đông khách,phục vụ nhanh.
nem chua rán 20k nhìn rất hấp dẫn, ngon,khá nhiều 
Bánh trang trộn ăn bình thườg, k quá đặc sắc",6.8
"Lần đầu tiên gọi gỏi ướt, lúc đầu nhìn thấy cá sống hơi sợ, nhưng ăn thì ngon hơn gỏi cá khô. Hơi xa thành phố, mỗi lần muốn ăn phải đi gần 30km mới ăn đc. Được cái cạnh hồ nên thoáng mát, nv phục vụ nhanh nhiệt tình.",7.2
"Tụi mình thuê homestay gần đó nên ăn ở đó nhìu lắm. Nhìn thi tưởng chè Thái nhưng thực chất ngon hơn hẳn. Nước chè là nước dừa pha sữa đặc ngọt và nhìu lắm. Thơm nức luôn. Có khúc bạch, mít, múi sầu riêng nữa 😂😂. 20k mà ăn no căng lăn luôn. H về sg rồi bk làm sao nếu mun ăn típ",9.6
"Thiệt sự là rất ưng ý luôn
Món siu rẻ, mà lại đậm vị, rất ngon, đáng ghé thử ở một góc phố tấp nập nhma khuyết điểm là hơi nóng nha",9.6
"Chẳng hiểu sao quán này lại được khen nữa. Mình thấy bún phần nhỏ gì là lèo tèo có cỡ 6, 7 miếng bún nhỏ tầm 2 ngón tay, trong khi bún ở quán khác người ta cắt to gấp đôi miếng bún ở đây và cũng bỏ chừng đó miếng bún, nên mình thấy giá 1 phần 30k như thế mà có gì đâu gọi là rẻ nhỉ.
Rồi mắm thì ăn vào thấy hơi bị ngọt, đã vậy vắt chanh vào thấy mắm sủi bọt có tí, trong khi những quán khác mình ăn thì nặn chanh vào mắm tôm thì mắm sẽ sủi bọt lên rất đều và đẹp. Chắc không ăn lại quán này nữa đâu.",4.8
"Quán nằm trên đường đi học về, nằm ở hẻm thôi, cũng dễ tìm. Menu quán đa dạng, gọi món chính của quán, bún đậu mắm tôm phần lớn. Đem ra thật sự cũng khá thất vọng, phần đậu chiếm đa số, thịt chả bao nhiêu. Đặc biệt là phần mắm tôm, các bạn review khen ngon nhưng mình thấy nó là điểm trừ lớn nhất, mùi tanh, hôi kinh khủng. Thích ăn bún đậu mắm tôm nhưng đến quán này làm chán kinh khủng, không biết mấy món khác ra sao nhưng riêng món này của quán mình cạch.",1.8
Đi vào tầm 10h15 mà ngồi mốc mỏ tới 11h45 cũng chưa có đồ ăn. Hiểu là đông khách đó nhưng không lẽ làm có tô mì hơn 1 tiếng.,2.2
Tô mỳ cay 42k mà tệ hơn 20k. Hải sản mà chỉ đc 1 con tôm và 3 con sò.. quá tệ. Sẽ k có lần sau,3.4
"Từ Huế về vừa đúng giờ ăn trưa nên vô tình ghé quán vì thấy quán rộng rãi sạch sẽ (thật ra quán giống quán nhậu theo kiểu sân vườn ở SG nhưng quán này nằm sát hồ nên mát hơn). Nghe nói đặc sản ở đây là gỏi cá Nam Ô nên 2 đứa chỉ kêu đúng 1 món là gỏi cá khô. Đây là cá sống đc trộn với thính mè, ăn với tương xay nóng, bánh đa, bánh tráng và rau, ăn ngon cực kì. 2 người ăn 1 dĩa gỏi cá 70k, thêm 2 lon nước ngọt no bể bụng.
Nếu đi từ trung tâm TP Đà Nẵng đi dọc theo đường cặp biển Nguyễn Tất Thành cảnh đẹp, mát, đường rộng lại ít xe, nên cũng thấy quán k xa bao nhiêu :)))",8.0
